review_id,product_sku,theme_id
FCR-002628,B001PB8EJ2,completely stopped
FCR-002648,B000N1XPG2,completely stopped
FCR-002653,B002HFDLCK,policy
FCR-002662,B0009ONZ8G,completely stopped
FCR-002671,B002HFDLCK,broken.
FCR-002676,B001PB8EJ2,even last
FCR-002692,B0009ONZ8G,buyer
FCR-002728,B00022NGIE,completely stopped
FCR-002760,B0009ONZ8G,broken.
FCR-002766,B0009ONZ8G,completely stopped
FCR-002788,B0009ONZ8G,went use
FCR-002794,B0009ONZ8G,completely stopped
FCR-002810,B0019KOFEC,cheaply made.
FCR-002825,B001PB8EJ2,repair shop
FCR-002832,B002TUU2GQ,completely stopped
FCR-002835,B0009ONZ8G,completely stopped
FCR-002848,B002HFDLCK,don't waste money.
FCR-002850,B000FZX93U,don't waste money.
FCR-002908,B0068RU4LE,completely stopped
FCR-002911,B002TUU2GQ,don't waste money.
FCR-002913,B002HFDLCK,broken.
FCR-002917,B0019KOFEC,went use
FCR-002957,B000N1XPG2,don't waste money.
FCR-002959,B0068RU4LE,completely stopped
FCR-002966,B002HFDLCK,spits
FCR-002990,B002HFDLCK,completely stopped
FCR-003015,B002HFDLCK,completely stopped
FCR-003022,B0068RU4LE,completely stopped
FCR-003023,B002HFDLCK,completely stopped
FCR-003028,B0009ONZ8G,anything up.
FCR-003035,B0009ONZ8G,cheaply made.
FCR-003044,B002HFDLCK,poor suction
FCR-003047,B0009ONZ8G,completely stopped
FCR-003057,B001PB8EJ2,broken.
FCR-003082,B002HFDLCK,completely stopped
FCR-003096,B0009ONZ8G,spits
FCR-003123,B002TUU2GQ,buyer
FCR-003133,B0068RU4LE,cheaply made.
FCR-003140,B0019KOFEC,completely stopped
FCR-003158,B0009ONZ8G,even last
FCR-003162,B002HFDLCK,completely stopped
FCR-003168,B001PB8EJ2,sending back
FCR-003182,B002HFDLCK,work all.
FCR-003184,B000N1XPG2,even last
FCR-003191,B000N1XPG2,completely stopped
FCR-003201,B002HFDLCK,don't waste money.
FCR-003211,B000FFUQZO,don't waste money.
FCR-003227,B001PB8EJ2,completely stopped
FCR-003228,B001PB8EJ2,completely stopped
FCR-003236,B003XDT9MG,work all.
FCR-003238,B0009ONZ8G,work all.
FCR-003256,B002HFDLCK,service center
FCR-003258,B002TUU2GQ,don't waste money.
FCR-003282,B002HFDLCK,completely stopped
FCR-003290,B000C7GZ2I,don't waste money.
FCR-003323,B000N1XPG2,completely stopped
FCR-003324,B0019KOFEC,broken.
FCR-003326,B0009ONZ8G,completely stopped
FCR-003332,B001PB8EJ2,completely stopped
FCR-003343,B002TUU2GQ,completely stopped
FCR-003345,B0009ONZ8G,even last
FCR-003366,B000FFUQZO,even last
FCR-003372,B0009ONZ8G,will returning
FCR-003381,B000N1XPG2,completely stopped
FCR-003402,B0068RU4LE,defective.
FCR-003405,B0021VJ5VQ,don't waste money.
FCR-003407,B002HFDLCK,completely stopped
FCR-003420,B002HFDLCK,poor suction
FCR-003421,B0009ONZ8G,don't waste money.
FCR-003436,B000N1XPG2,completely stopped
FCR-003438,B001PB8EJ2,completely stopped
FCR-003445,B001PB8EJ2,completely stopped
FCR-003454,B002HFDLCK,completely stopped
FCR-003456,B002HFDLCK,avail.
FCR-003471,B002HFDLCK,completely stopped
FCR-003475,B002HFDLCK,completely stopped
FCR-003492,B07CQFHDN7,completely stopped
FCR-003498,B001PB8EJ2,don't waste money.
FCR-003499,B002HFDLCK,completely stopped
FCR-003508,B001PB8EJ2,expired
FCR-003511,B002TUU2GG,don't waste money.
FCR-003513,B001PB8EJ2,completely stopped
FCR-003524,B001PB8EJ2,completely stopped
FCR-003525,B002HFDLCK,don't waste money.
FCR-003527,B001PB8EJ2,don't waste money.
FCR-003529,B002HFDLCK,completely stopped
FCR-003542,B001PB8EJ2,service center
FCR-003545,B0021VJ5VQ,repair shop
FCR-003552,B004GN8UYA,poor suction
FCR-003553,B004GN8UYA,don't waste money.
FCR-003566,B0068RU4LE,completely stopped
